category,subcategory,brand,series,modelVariant,level,name,slug,fullPath,source,status,notes,canonicalRef
Otomobil,,Acura,TL,,SERIES,TL,tl,Vasıta > Otomobil > Acura > TL,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,TLX,,SERIES,TLX,tlx,Vasıta > Otomobil > Acura > TLX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,TSX,,SERIES,TSX,tsx,Vasıta > Otomobil > Acura > TSX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,ZDX,,SERIES,ZDX,zdx,Vasıta > Otomobil > Acura > ZDX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aion,ES,,SERIES,ES,es,Vasıta > Otomobil > Aion > ES,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aion,Hyper GT,,SERIES,Hyper GT,hyper-gt,Vasıta > Otomobil > Aion > Hyper GT,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aion,S,,SERIES,S,s,Vasıta > Otomobil > Aion > S,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aion,S Plus,,SERIES,S Plus,s-plus,Vasıta > Otomobil > Aion > S Plus,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aion,Y,,SERIES,Y,y,Vasıta > Otomobil > Aion > Y,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aion,Y Plus,,SERIES,Y Plus,y-plus,Vasıta > Otomobil > Aion > Y Plus,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,145,,SERIES,145,145,Vasıta > Otomobil > Alfa Romeo > 145,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,146,,SERIES,146,146,Vasıta > Otomobil > Alfa Romeo > 146,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,147,,SERIES,147,147,Vasıta > Otomobil > Alfa Romeo > 147,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,147,1.6 TS Distinctive,MODEL_VARIANT,1.6 TS Distinctive,1-6-ts-distinctive,Vasıta > Otomobil > Alfa Romeo > 147 > 1.6 TS Distinctive,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,147,1.9 JTD Distinctive,MODEL_VARIANT,1.9 JTD Distinctive,1-9-jtd-distinctive,Vasıta > Otomobil > Alfa Romeo > 147 > 1.9 JTD Distinctive,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,147,2.0 TS Selespeed,MODEL_VARIANT,2.0 TS Selespeed,2-0-ts-selespeed,Vasıta > Otomobil > Alfa Romeo > 147 > 2.0 TS Selespeed,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,155,,SERIES,155,155,Vasıta > Otomobil > Alfa Romeo > 155,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,156,,SERIES,156,156,Vasıta > Otomobil > Alfa Romeo > 156,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,156,1.6 TS,MODEL_VARIANT,1.6 TS,1-6-ts,Vasıta > Otomobil > Alfa Romeo > 156 > 1.6 TS,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,156,1.8 TS,MODEL_VARIANT,1.8 TS,1-8-ts,Vasıta > Otomobil > Alfa Romeo > 156 > 1.8 TS,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,156,2.0 TS Selespeed,MODEL_VARIANT,2.0 TS Selespeed,2-0-ts-selespeed,Vasıta > Otomobil > Alfa Romeo > 156 > 2.0 TS Selespeed,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,156,1.9 JTD,MODEL_VARIANT,1.9 JTD,1-9-jtd,Vasıta > Otomobil > Alfa Romeo > 156 > 1.9 JTD,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,156,2.4 JTD,MODEL_VARIANT,2.4 JTD,2-4-jtd,Vasıta > Otomobil > Alfa Romeo > 156 > 2.4 JTD,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,159,,SERIES,159,159,Vasıta > Otomobil > Alfa Romeo > 159,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,159,1.9 JTD Distinctive,MODEL_VARIANT,1.9 JTD Distinctive,1-9-jtd-distinctive,Vasıta > Otomobil > Alfa Romeo > 159 > 1.9 JTD Distinctive,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,159,2.0 JTDM,MODEL_VARIANT,2.0 JTDM,2-0-jtdm,Vasıta > Otomobil > Alfa Romeo > 159 > 2.0 JTDM,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,159,2.2 JTS,MODEL_VARIANT,2.2 JTS,2-2-jts,Vasıta > Otomobil > Alfa Romeo > 159 > 2.2 JTS,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,164,,SERIES,164,164,Vasıta > Otomobil > Alfa Romeo > 164,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,166,,SERIES,166,166,Vasıta > Otomobil > Alfa Romeo > 166,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,33,,SERIES,33,33,Vasıta > Otomobil > Alfa Romeo > 33,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,75,,SERIES,75,75,Vasıta > Otomobil > Alfa Romeo > 75,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Brera,,SERIES,Brera,brera,Vasıta > Otomobil > Alfa Romeo > Brera,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulia,,SERIES,Giulia,giulia,Vasıta > Otomobil > Alfa Romeo > Giulia,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulia,2.0 Turbo Sprint,MODEL_VARIANT,2.0 Turbo Sprint,2-0-turbo-sprint,Vasıta > Otomobil > Alfa Romeo > Giulia > 2.0 Turbo Sprint,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulia,2.0 Turbo Veloce,MODEL_VARIANT,2.0 Turbo Veloce,2-0-turbo-veloce,Vasıta > Otomobil > Alfa Romeo > Giulia > 2.0 Turbo Veloce,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulia,2.2 Diesel Super,MODEL_VARIANT,2.2 Diesel Super,2-2-diesel-super,Vasıta > Otomobil > Alfa Romeo > Giulia > 2.2 Diesel Super,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulia,Quadrifoglio,MODEL_VARIANT,Quadrifoglio,quadrifoglio,Vasıta > Otomobil > Alfa Romeo > Giulia > Quadrifoglio,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulietta,,SERIES,Giulietta,giulietta,Vasıta > Otomobil > Alfa Romeo > Giulietta,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulietta,1.4 TB Progression,MODEL_VARIANT,1.4 TB Progression,1-4-tb-progression,Vasıta > Otomobil > Alfa Romeo > Giulietta > 1.4 TB Progression,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulietta,1.4 TB Distinctive,MODEL_VARIANT,1.4 TB Distinctive,1-4-tb-distinctive,Vasıta > Otomobil > Alfa Romeo > Giulietta > 1.4 TB Distinctive,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulietta,1.6 JTD Progression,MODEL_VARIANT,1.6 JTD Progression,1-6-jtd-progression,Vasıta > Otomobil > Alfa Romeo > Giulietta > 1.6 JTD Progression,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Giulietta,1.6 JTD Super,MODEL_VARIANT,1.6 JTD Super,1-6-jtd-super,Vasıta > Otomobil > Alfa Romeo > Giulietta > 1.6 JTD Super,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,GT,,SERIES,GT,gt,Vasıta > Otomobil > Alfa Romeo > GT,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,GT,1.9 JTD Distinctive,MODEL_VARIANT,1.9 JTD Distinctive,1-9-jtd-distinctive,Vasıta > Otomobil > Alfa Romeo > GT > 1.9 JTD Distinctive,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,GT,2.0 JTS Selespeed,MODEL_VARIANT,2.0 JTS Selespeed,2-0-jts-selespeed,Vasıta > Otomobil > Alfa Romeo > GT > 2.0 JTS Selespeed,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,GTV,,SERIES,GTV,gtv,Vasıta > Otomobil > Alfa Romeo > GTV,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,MiTo,,SERIES,MiTo,mito,Vasıta > Otomobil > Alfa Romeo > MiTo,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,MiTo,1.4 TB Distinctive,MODEL_VARIANT,1.4 TB Distinctive,1-4-tb-distinctive,Vasıta > Otomobil > Alfa Romeo > MiTo > 1.4 TB Distinctive,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,MiTo,1.3 JTD Progression,MODEL_VARIANT,1.3 JTD Progression,1-3-jtd-progression,Vasıta > Otomobil > Alfa Romeo > MiTo > 1.3 JTD Progression,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alfa Romeo,Spider,,SERIES,Spider,spider,Vasıta > Otomobil > Alfa Romeo > Spider,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A110,,SERIES,A110,a110,Vasıta > Otomobil > Alpine > A110,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A110,Pure,MODEL_VARIANT,Pure,pure,Vasıta > Otomobil > Alpine > A110 > Pure,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A110,Legende,MODEL_VARIANT,Legende,legende,Vasıta > Otomobil > Alpine > A110 > Legende,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A110,S,MODEL_VARIANT,S,s,Vasıta > Otomobil > Alpine > A110 > S,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A110,GT,MODEL_VARIANT,GT,gt,Vasıta > Otomobil > Alpine > A110 > GT,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A110,R,MODEL_VARIANT,R,r,Vasıta > Otomobil > Alpine > A110 > R,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A290,,SERIES,A290,a290,Vasıta > Otomobil > Alpine > A290,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A290,GT,MODEL_VARIANT,GT,gt,Vasıta > Otomobil > Alpine > A290 > GT,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Alpine,A290,GTS,MODEL_VARIANT,GTS,gts,Vasıta > Otomobil > Alpine > A290 > GTS,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Anadol,A1,,SERIES,A1,a1,Vasıta > Otomobil > Anadol > A1,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Anadol,A2,,SERIES,A2,a2,Vasıta > Otomobil > Anadol > A2,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Anadol,Böcek,,SERIES,Böcek,bocek,Vasıta > Otomobil > Anadol > Böcek,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Anadol,P2,,SERIES,P2,p2,Vasıta > Otomobil > Anadol > P2,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Anadol,STC-16,,SERIES,STC-16,stc-16,Vasıta > Otomobil > Anadol > STC-16,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Anadol,SV-1600,,SERIES,SV-1600,sv-1600,Vasıta > Otomobil > Anadol > SV-1600,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Arora,S1,,SERIES,S1,s1,Vasıta > Otomobil > Arora > S1,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Arora,S1 Max,,SERIES,S1 Max,s1-max,Vasıta > Otomobil > Arora > S1 Max,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Arora,ZR1,,SERIES,ZR1,zr1,Vasıta > Otomobil > Arora > ZR1,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,Cygnet,,SERIES,Cygnet,cygnet,Vasıta > Otomobil > Aston Martin > Cygnet,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,DB11,,SERIES,DB11,db11,Vasıta > Otomobil > Aston Martin > DB11,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,DB12,,SERIES,DB12,db12,Vasıta > Otomobil > Aston Martin > DB12,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,DB7,,SERIES,DB7,db7,Vasıta > Otomobil > Aston Martin > DB7,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,DB9,,SERIES,DB9,db9,Vasıta > Otomobil > Aston Martin > DB9,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,DBS,,SERIES,DBS,dbs,Vasıta > Otomobil > Aston Martin > DBS,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,Lagonda,,SERIES,Lagonda,lagonda,Vasıta > Otomobil > Aston Martin > Lagonda,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,Rapide,,SERIES,Rapide,rapide,Vasıta > Otomobil > Aston Martin > Rapide,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,Vanquish,,SERIES,Vanquish,vanquish,Vasıta > Otomobil > Aston Martin > Vanquish,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,Vantage,,SERIES,Vantage,vantage,Vasıta > Otomobil > Aston Martin > Vantage,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Aston Martin,Virage,,SERIES,Virage,virage,Vasıta > Otomobil > Aston Martin > Virage,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,100,,SERIES,100,100,Vasıta > Otomobil > Audi > 100,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,200,,SERIES,200,200,Vasıta > Otomobil > Audi > 200,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,80,,SERIES,80,80,Vasıta > Otomobil > Audi > 80,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,90,,SERIES,90,90,Vasıta > Otomobil > Audi > 90,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A1,,SERIES,A1,a1,Vasıta > Otomobil > Audi > A1,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A1,1.0 TFSI,MODEL_VARIANT,1.0 TFSI,1-0-tfsi,Vasıta > Otomobil > Audi > A1 > 1.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A1,1.4 TFSI,MODEL_VARIANT,1.4 TFSI,1-4-tfsi,Vasıta > Otomobil > Audi > A1 > 1.4 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A1,1.6 TDI,MODEL_VARIANT,1.6 TDI,1-6-tdi,Vasıta > Otomobil > Audi > A1 > 1.6 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A2,,SERIES,A2,a2,Vasıta > Otomobil > Audi > A2,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,,SERIES,A3,a3,Vasıta > Otomobil > Audi > A3,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,1.0 TFSI,MODEL_VARIANT,1.0 TFSI,1-0-tfsi,Vasıta > Otomobil > Audi > A3 > 1.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,1.2 TFSI,MODEL_VARIANT,1.2 TFSI,1-2-tfsi,Vasıta > Otomobil > Audi > A3 > 1.2 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,1.4 TFSI,MODEL_VARIANT,1.4 TFSI,1-4-tfsi,Vasıta > Otomobil > Audi > A3 > 1.4 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,1.5 TFSI,MODEL_VARIANT,1.5 TFSI,1-5-tfsi,Vasıta > Otomobil > Audi > A3 > 1.5 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,1.6 TDI,MODEL_VARIANT,1.6 TDI,1-6-tdi,Vasıta > Otomobil > Audi > A3 > 1.6 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,2.0 TDI,MODEL_VARIANT,2.0 TDI,2-0-tdi,Vasıta > Otomobil > Audi > A3 > 2.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A3,S line,MODEL_VARIANT,S line,s-line,Vasıta > Otomobil > Audi > A3 > S line,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,,SERIES,A4,a4,Vasıta > Otomobil > Audi > A4,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,1.4 TFSI,MODEL_VARIANT,1.4 TFSI,1-4-tfsi,Vasıta > Otomobil > Audi > A4 > 1.4 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,1.8 T,MODEL_VARIANT,1.8 T,1-8-t,Vasıta > Otomobil > Audi > A4 > 1.8 T,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,2.0 TFSI,MODEL_VARIANT,2.0 TFSI,2-0-tfsi,Vasıta > Otomobil > Audi > A4 > 2.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,2.0 TDI,MODEL_VARIANT,2.0 TDI,2-0-tdi,Vasıta > Otomobil > Audi > A4 > 2.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,3.0 TDI,MODEL_VARIANT,3.0 TDI,3-0-tdi,Vasıta > Otomobil > Audi > A4 > 3.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,quattro,MODEL_VARIANT,quattro,quattro,Vasıta > Otomobil > Audi > A4 > quattro,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A4,S line,MODEL_VARIANT,S line,s-line,Vasıta > Otomobil > Audi > A4 > S line,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A5,,SERIES,A5,a5,Vasıta > Otomobil > Audi > A5,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A5,1.4 TFSI,MODEL_VARIANT,1.4 TFSI,1-4-tfsi,Vasıta > Otomobil > Audi > A5 > 1.4 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A5,2.0 TFSI,MODEL_VARIANT,2.0 TFSI,2-0-tfsi,Vasıta > Otomobil > Audi > A5 > 2.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A5,2.0 TDI,MODEL_VARIANT,2.0 TDI,2-0-tdi,Vasıta > Otomobil > Audi > A5 > 2.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A5,quattro,MODEL_VARIANT,quattro,quattro,Vasıta > Otomobil > Audi > A5 > quattro,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A5,S line,MODEL_VARIANT,S line,s-line,Vasıta > Otomobil > Audi > A5 > S line,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,,SERIES,A6,a6,Vasıta > Otomobil > Audi > A6,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,1.8 TFSI,MODEL_VARIANT,1.8 TFSI,1-8-tfsi,Vasıta > Otomobil > Audi > A6 > 1.8 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,2.0 TFSI,MODEL_VARIANT,2.0 TFSI,2-0-tfsi,Vasıta > Otomobil > Audi > A6 > 2.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,2.0 TDI,MODEL_VARIANT,2.0 TDI,2-0-tdi,Vasıta > Otomobil > Audi > A6 > 2.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,3.0 TDI,MODEL_VARIANT,3.0 TDI,3-0-tdi,Vasıta > Otomobil > Audi > A6 > 3.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,quattro,MODEL_VARIANT,quattro,quattro,Vasıta > Otomobil > Audi > A6 > quattro,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,Design,MODEL_VARIANT,Design,design,Vasıta > Otomobil > Audi > A6 > Design,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A6,S line,MODEL_VARIANT,S line,s-line,Vasıta > Otomobil > Audi > A6 > S line,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A7,,SERIES,A7,a7,Vasıta > Otomobil > Audi > A7,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A7,2.0 TFSI,MODEL_VARIANT,2.0 TFSI,2-0-tfsi,Vasıta > Otomobil > Audi > A7 > 2.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A7,3.0 TFSI,MODEL_VARIANT,3.0 TFSI,3-0-tfsi,Vasıta > Otomobil > Audi > A7 > 3.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A7,3.0 TDI,MODEL_VARIANT,3.0 TDI,3-0-tdi,Vasıta > Otomobil > Audi > A7 > 3.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A7,quattro,MODEL_VARIANT,quattro,quattro,Vasıta > Otomobil > Audi > A7 > quattro,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A8,,SERIES,A8,a8,Vasıta > Otomobil > Audi > A8,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A8,2.0 TFSI,MODEL_VARIANT,2.0 TFSI,2-0-tfsi,Vasıta > Otomobil > Audi > A8 > 2.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A8,3.0 TDI,MODEL_VARIANT,3.0 TDI,3-0-tdi,Vasıta > Otomobil > Audi > A8 > 3.0 TDI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A8,4.0 TFSI,MODEL_VARIANT,4.0 TFSI,4-0-tfsi,Vasıta > Otomobil > Audi > A8 > 4.0 TFSI,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,A8,L quattro,MODEL_VARIANT,L quattro,l-quattro,Vasıta > Otomobil > Audi > A8 > L quattro,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,Cabrio,,SERIES,Cabrio,cabrio,Vasıta > Otomobil > Audi > Cabrio,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,e-tron GT,,SERIES,e-tron GT,e-tron-gt,Vasıta > Otomobil > Audi > e-tron GT,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,e-tron GT,quattro,MODEL_VARIANT,quattro,quattro,Vasıta > Otomobil > Audi > e-tron GT > quattro,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,e-tron GT,RS e-tron GT,MODEL_VARIANT,RS e-tron GT,rs-e-tron-gt,Vasıta > Otomobil > Audi > e-tron GT > RS e-tron GT,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,R8,,SERIES,R8,r8,Vasıta > Otomobil > Audi > R8,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,RS3,,SERIES,RS3,rs3,Vasıta > Otomobil > Audi > RS3,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,RS4,,SERIES,RS4,rs4,Vasıta > Otomobil > Audi > RS4,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,RS5,,SERIES,RS5,rs5,Vasıta > Otomobil > Audi > RS5,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,RS6,,SERIES,RS6,rs6,Vasıta > Otomobil > Audi > RS6,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,RS7,,SERIES,RS7,rs7,Vasıta > Otomobil > Audi > RS7,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,S1,,SERIES,S1,s1,Vasıta > Otomobil > Audi > S1,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,S3,,SERIES,S3,s3,Vasıta > Otomobil > Audi > S3,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,S4,,SERIES,S4,s4,Vasıta > Otomobil > Audi > S4,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,S5,,SERIES,S5,s5,Vasıta > Otomobil > Audi > S5,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Audi,S6,,SERIES,S6,s6,Vasıta > Otomobil > Audi > S6,curated-market-v1,CURATED_REVIEW,,
