kind,brand,series,category,action,exists,canonicalPath,reason
ELECTRIC,leapmotor,t03,arac/otomobil,,true,,
ELECTRIC,lexus,rz,arac/arazi-suv-pickup,,false,,
ELECTRIC,lexus,ux-300e,arac/otomobil,,false,,
ELECTRIC,mercedes-benz,eqa,arac/arazi-suv-pickup,,true,,
ELECTRIC,mercedes-benz,eqb,arac/arazi-suv-pickup,,true,,
ELECTRIC,mercedes-benz,eqc,arac/arazi-suv-pickup,,true,,
ELECTRIC,mercedes-benz,eqe,arac/otomobil,,true,,
ELECTRIC,mercedes-benz,eqe-suv,arac/arazi-suv-pickup,,true,,
ELECTRIC,mercedes-benz,eqs,arac/otomobil,,true,,
ELECTRIC,mercedes-benz,eqs-suv,arac/arazi-suv-pickup,,true,,
ELECTRIC,mercedes-benz,g-580-eq,arac/arazi-suv-pickup,,false,,
ELECTRIC,mg,marvel-r,arac/arazi-suv-pickup,,true,,
ELECTRIC,mg,mg4,arac/otomobil,,true,,
ELECTRIC,mg,mg5-electric,arac/otomobil,,false,,
ELECTRIC,mg,zs-ev,arac/arazi-suv-pickup,,false,,
ELECTRIC,mini,aceman,arac/arazi-suv-pickup,,true,,
ELECTRIC,mini,cooper-electric,arac/otomobil,,false,,
ELECTRIC,mini,countryman-electric,arac/arazi-suv-pickup,,false,,
ELECTRIC,nissan,ariya,arac/arazi-suv-pickup,,true,,
ELECTRIC,nissan,leaf,arac/otomobil,,true,,
ELECTRIC,nissan,townstar-ev,arac/minivan-panelvan,,false,,
ELECTRIC,opel,astra-electric,arac/otomobil,,false,,
ELECTRIC,opel,combo-electric,arac/minivan-panelvan,,false,,
ELECTRIC,opel,corsa-electric,arac/otomobil,,false,,
ELECTRIC,opel,frontera-electric,arac/arazi-suv-pickup,,false,,
ELECTRIC,opel,mokka-electric,arac/arazi-suv-pickup,,false,,
ELECTRIC,opel,vivaro-electric,arac/minivan-panelvan,,false,,
ELECTRIC,peugeot,e-2008,arac/arazi-suv-pickup,,false,,
ELECTRIC,peugeot,e-208,arac/otomobil,,false,,
ELECTRIC,peugeot,e-3008,arac/arazi-suv-pickup,,false,,
ELECTRIC,peugeot,e-5008,arac/arazi-suv-pickup,,false,,
ELECTRIC,peugeot,e-expert,arac/minivan-panelvan,,false,,
ELECTRIC,peugeot,e-partner,arac/minivan-panelvan,,false,,
ELECTRIC,peugeot,e-rifter,arac/minivan-panelvan,,false,,
ELECTRIC,polestar,2,arac/otomobil,,true,,
ELECTRIC,polestar,3,arac/arazi-suv-pickup,,true,,
ELECTRIC,polestar,4,arac/arazi-suv-pickup,,true,,
ELECTRIC,porsche,macan-electric,arac/arazi-suv-pickup,,false,,
ELECTRIC,porsche,taycan,arac/otomobil,,true,,
ELECTRIC,renault,kangoo-e-tech,arac/minivan-panelvan,,false,,
ELECTRIC,renault,master-e-tech,arac/ticari-araclar,,false,,
ELECTRIC,renault,megane-e-tech,arac/otomobil,,false,,
ELECTRIC,renault,scenic-e-tech,arac/arazi-suv-pickup,,true,,
ELECTRIC,renault,zoe,arac/otomobil,,true,,
ELECTRIC,seres,seres-3,arac/arazi-suv-pickup,,true,,
ELECTRIC,seres,seres-5,arac/arazi-suv-pickup,,true,,
ELECTRIC,skoda,citigo-e,arac/otomobil,,false,,
ELECTRIC,skoda,elroq,arac/arazi-suv-pickup,,true,,
ELECTRIC,skoda,enyaq,arac/arazi-suv-pickup,,true,,
ELECTRIC,skywell,et5,arac/arazi-suv-pickup,,true,,
ELECTRIC,skywell,ht-i,arac/arazi-suv-pickup,,false,,
ELECTRIC,smart,1,arac/arazi-suv-pickup,,true,,
ELECTRIC,smart,3,arac/arazi-suv-pickup,,true,,
ELECTRIC,subaru,solterra,arac/arazi-suv-pickup,,true,,
ELECTRIC,tesla,cybertruck,arac/arazi-suv-pickup,,true,,
ELECTRIC,tesla,model-3,arac/otomobil,,true,,
ELECTRIC,tesla,model-s,arac/otomobil,,true,,
ELECTRIC,tesla,model-x,arac/arazi-suv-pickup,,true,,
ELECTRIC,tesla,model-y,arac/arazi-suv-pickup,,true,,
ELECTRIC,togg,t10f,arac/otomobil,,true,,
ELECTRIC,togg,t10x,arac/arazi-suv-pickup,,true,,
ELECTRIC,toyota,bz4x,arac/arazi-suv-pickup,,false,,
ELECTRIC,toyota,proace-city-electric,arac/minivan-panelvan,,false,,
ELECTRIC,toyota,proace-electric,arac/minivan-panelvan,,false,,
ELECTRIC,volkswagen,id-buzz,arac/minivan-panelvan,,false,,
ELECTRIC,volkswagen,id-3,arac/otomobil,,true,,
ELECTRIC,volkswagen,id-4,arac/arazi-suv-pickup,,true,,
ELECTRIC,volkswagen,id-5,arac/arazi-suv-pickup,,true,,
ELECTRIC,volkswagen,id-7,arac/otomobil,,false,,
ELECTRIC,volvo,c40-recharge,arac/arazi-suv-pickup,,true,,
ELECTRIC,volvo,ex30,arac/arazi-suv-pickup,,true,,
ELECTRIC,volvo,ex40,arac/arazi-suv-pickup,,true,,
ELECTRIC,volvo,ex90,arac/arazi-suv-pickup,,true,,
ELECTRIC,voyah,dream,arac/minivan-panelvan,,true,,
ELECTRIC,voyah,free,arac/arazi-suv-pickup,,true,,
ELECTRIC,voyah,passion,arac/otomobil,,true,,
ELECTRIC,xev,yoyo,arac/otomobil,,true,,
