brand,categories,isActive,isSelectable,deepCatalogFileExists,completionReportExists,researchCompleted,classification,seriesResearched,runtimeSeriesCount,verifiedVersionCount,verifiedTrimCount,reviewRequired,noVerifiedTrimFound,sourceCoverage,runtimeHasDeepVersion,runtimeHasTrim
"Jaecoo","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Jaguar","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",5,11,3,3,2,0,78,true,true
"Jeep","arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",4,8,9,6,2,0,86,true,true
"Jiayuan","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"Joyce","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"KGM","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"KGM SsangYong","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,7,0,0,0,0,0,true,false
"Kia","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",7,27,9,10,6,0,79,true,true
"Kuba","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Lada","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,9,0,0,0,0,0,true,false
"Lamborghini","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Lancia","arac/otomobil|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,10,0,0,0,0,0,true,false
"Land Rover","arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",6,8,14,12,5,0,81,true,true
"Leapmotor","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"Lexus","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",6,17,5,11,4,0,75,true,true
"Lincoln","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,10,0,0,0,0,0,true,false
"Lotus","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,7,0,0,0,0,0,true,false
"Luqi","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Lynk & Co","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"Mahindra","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,5,0,0,0,0,0,true,false
"MAN","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Marcos","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Maserati","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Maxus","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,5,0,0,0,0,0,true,false
"Mazda","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",6,27,5,7,3,0,88,true,true
"McLaren","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,12,0,0,0,0,0,true,false
"Mercedes-Benz","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",25,52,62,18,11,8,87,true,true
"MG","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",4,12,3,4,0,0,100,true,true
"Micro","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Mini","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",2,10,10,7,1,0,96,true,true
"Mitsubishi","arac/arazi-suv-pickup|arac/otomobil|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",4,15,13,7,3,0,83,true,true
"Morgan","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,6,0,0,0,0,0,true,false
"Motolux","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Nieve","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Nissan","arac/arazi-suv-pickup|arac/otomobil|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",5,34,9,12,3,0,91,true,true
"Omoda","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Opel","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",3,33,14,12,1,0,97,true,true
"Ortimobil","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Peugeot","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",5,36,12,9,3,0,92,true,true
"Plymouth","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Polestar","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"Pontiac","arac/otomobil|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,12,0,0,0,0,0,true,false
"Porsche","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",6,10,46,3,0,55,100,true,true
"Proton","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Rainwoll","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Reeder","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Regal Raptor","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Relive","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Renault","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",10,32,13,8,8,0,81,true,true
"RKS","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Roewe","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Rolls-Royce","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,10,0,0,0,0,0,true,false
"Rover","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Saab","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,6,0,0,0,0,0,true,false
"Santana","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Seat","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",3,12,8,5,0,0,100,true,true
"Seres","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Skoda","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",3,15,15,14,1,0,98,true,true
"Skywell","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Smart","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,5,0,0,0,0,0,true,false
"Subaru","arac/arazi-suv-pickup|arac/otomobil",true,true,true,true,true,"DEEP_PARTIAL",5,12,3,6,2,0,78,true,true
"Suzuki","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",4,16,4,4,3,0,77,true,true
"SWM","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"Tata","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Tenax","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Tesla","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",4,5,6,3,3,2,70,true,true
"The London Taxi","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,4,0,0,0,0,0,true,false
"Tofaş","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,6,0,0,0,0,0,true,false
"TOGG","arac/arazi-suv-pickup|arac/otomobil",true,true,true,true,true,"DEEP_COMPLETE",2,2,3,3,0,0,100,true,true
"Toyota","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",3,26,7,10,1,0,98,true,true
"Vanderhall","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Volkswagen","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",11,28,15,13,10,0,83,true,true
"Volta","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Volvo","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",5,19,7,6,4,0,75,true,true
"Voyah","arac/arazi-suv-pickup|arac/minivan-panelvan|arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"XEV","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Yuki","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Zlin Motors","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
