brand,series,model,trim,generationCode,yearFrom,yearTo,confidence,decision,notes
Mercedes-Benz,CLS,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,SLC,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,SLK,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,Vito,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,V Serisi,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,E Serisi,,,W212,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,C Serisi,,,W204,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,SLK,,,R172,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mini,Cabrio,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mitsubishi,ASX,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mitsubishi,Eclipse Cross,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mitsubishi,L200,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Nissan,Townstar,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Nissan,Qashqai e-POWER,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Nissan,X-Trail,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Opel,Crossland,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Peugeot,208 (ICE historical),,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Peugeot,308 (ICE historical),,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Peugeot,E-3008,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Megane,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Captur,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Symbol,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Taliant,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Kangoo,,Multix,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Kadjar,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Austral,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Renault,Trafic,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Skoda,Superb,2.0 TDI 4x4,L&K Crystal,IV,2024,2026,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Subaru,XV,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Subaru,Outback,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Suzuki,Swift,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Suzuki,S-Cross,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Suzuki,Jimny,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Tesla,Model 3,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Tesla,Model S,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Tesla,Model X,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Toyota,RAV4,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Golf,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Passat,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Tiguan,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Polo,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Caddy,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,ID.3,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Golf,,,Mk5,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,T-Roc,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,T-Cross,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volkswagen,Transporter,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volvo,XC90,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volvo,EX30,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volvo,EC40,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Volvo,V60,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
