categoryId,currentName,currentPath,originalRevisedAction,finalDecision,targetPath,preserveId,commerceMode,modelMode,attributesNeeded,listingCount,productCount,sellerOfferCount,childCount,reason,reviewerRequired,riskLevel
cmsg3xhv900cbuzdcisdc2s26,Takı Seti,sifir-urun/sifir-urun-saat-taki/set-taki,ADD_TO_TARGET_TREE,ADD_TO_TARGET_TREE,Moda › Saat ve Takı › Takı › Takı Seti,true,BOTH,ATTRIBUTE_ONLY,malzeme;renk;set içeriği,0,0,0,0,Takı leaf — ADD under Moda,true,MEDIUM
cmsg3xiem00fpuzdckq3kn6k7,El Aleti & Takım,sifir-urun/sifir-urun-bahce-yapi-market/el-aleti,ADD_TO_TARGET_TREE,MOVE_EXISTING,Bahçe ve Yapı › El Aletleri › El Aleti ve Takım,true,BOTH,BRAND_MODEL,güç;voltaj;set adedi;kullanım alanı,0,0,0,0,El aleti Moda değil — Bahçe ve Yapı; ADD veya MOVE existing,false,MEDIUM
cmsg3xiat00evuzdcfoa0iohd,Perde & Stor,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/perde,MANUAL_REVIEW,RENAME,Ev ve Yaşam › Ev Tekstili › Salon Tekstili › Stor Perde,true,,,,0,0,0,0,Prefer Stor Perde; perde variants may need sibling creates,false,MEDIUM
cmsg3xij600gnuzdc31ls39f2,Kamp & Outdoor,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor/kamp-outdoor,MOVE,MOVE,Spor ve Outdoor › Outdoor ve Kamp,true,,,,0,0,0,0,Move preserveId → Spor ve Outdoor › Outdoor ve Kamp,false,HIGH
cmsg3xiw100jfuzdclktt1rvs,Aksesuar & Nota,sifir-urun/sifir-urun-muzik/muzik-aksesuar,SPLIT,SPLIT,,false,,,,0,0,0,0,Compound — see split rules; no auto archive,true,HIGH
cmsg3xj5y00lhuzdc0zensn61,Gıda,sifir-urun/sifir-urun-yiyecek-icecek/gida,ADD_TO_TARGET_TREE,ADD_TO_TARGET_TREE,Market ve Gıda › Yiyecek › Gıda,true,NEW_ONLY,ATTRIBUTE_ONLY,ağırlık;içerik;skt;saklama,0,0,0,0,Yiyecek altında Gıda leaf/group — ADD,true,MEDIUM
cmsg3xj6800ljuzdcca30zr9t,İçecek,sifir-urun/sifir-urun-yiyecek-icecek/icecek,ADD_TO_TARGET_TREE,ADD_TO_TARGET_TREE,Market ve Gıda › İçecek,true,NEW_ONLY,ATTRIBUTE_ONLY,hacim;tip(su/gazlı/sıcak);skt,0,0,0,0,İçecek ayrı group — ADD,true,MEDIUM
cmsg3xk6300nruzdcgr2yfhh4,Diğer Tarım Makinesi,sifir-urun/sifir-urun-tarim-makinesi/diger-tarim,MOVE,MOVE,Endüstriyel ve Ticari Ürünler › …,true,,,,0,0,0,0,Move preserveId → Endüstriyel ve Ticari Ürünler › …,false,HIGH
cmsg3xkk200ofuzdcdcb07841,Diğer Sanayi,sifir-urun/sifir-urun-sanayi-makinesi/diger-sanayi,MOVE,MOVE,Endüstriyel ve Ticari Ürünler › …,true,,,,0,0,0,0,Move preserveId → Endüstriyel ve Ticari Ürünler › …,false,HIGH
cmsg3xh7l0083uzdcqmff5pvf,"Kol, Kulaklık & Aksesuar",sifir-urun/elektronik/oyun-ve-konsol/oyun-konsol/konsol-aksesuar,SPLIT,SPLIT,,false,,,,0,0,0,0,Compound — see split rules; no auto archive,true,HIGH
cmsg4wp2n0023uzxw8u4sgot9,Fotoğraf ve Kamera,sifir-urun/elektronik/fotograf-ve-kamera,KEEP,KEEP,,true,,,,0,0,0,5,Active children / structural group still needed — KEEP until children remapped,true,HIGH
cms93j5m20027uz3g910o9sc3,Elektrikli Ev Aletleri,sifir-urun/ev-aletleri/kucuk-ev-aletleri/elektrikli-ev-aletleri,MANUAL_REVIEW,MERGE,Ev Aletleri,true,,,,3,0,0,11,Legacy wrapper → Ev Aletleri,true,MEDIUM
cmsg3xh350073uzdcy4uxrfah,Airfryer,sifir-urun/ev-aletleri/kucuk-ev-aletleri/elektrikli-ev-aletleri/airfryer,RENAME,RENAME,Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Airfryer,true,,,,0,0,0,0,Rename preserveId → Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Airfryer,false,HIGH
cmsg4wp8w002fuzxwt18nv883,Ev Dekorasyon & Mobilya,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya,KEEP,KEEP,,true,,,,1,0,0,8,Active children / structural group still needed — KEEP until children remapped,true,HIGH
cmsg4wpb0002ruzxwe7r6a6gk,Giyim & Aksesuar,sifir-urun/moda/giyim-aksesuar,KEEP,KEEP,,true,,,,0,0,0,13,Active children / structural group still needed — KEEP until children remapped,true,HIGH
cmsg4wpdh002vuzxwh2lo3l0x,Bisiklet,sifir-urun/spor-outdoor/bisiklet,RENAME,RENAME,Spor ve Outdoor › Bisiklet,true,,,,0,0,0,1,Rename preserveId → Spor ve Outdoor › Bisiklet,false,MEDIUM
cmsg4wpdw002zuzxwynzc4p9m,Spor Ürünleri,sifir-urun/spor-outdoor/spor-urunleri,KEEP,KEEP,,true,,,,0,0,0,1,Active children / structural group still needed — KEEP until children remapped,true,HIGH
cms93j5oj002vuz3g5py6nixh,Spor & Outdoor,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor,RENAME,RENAME,Spor ve Outdoor,true,,,,1,0,0,11,Rename preserveId → Spor ve Outdoor,true,HIGH
cmsg4wpau002puzxwuyaikv2b,Tişört,sifir-urun/moda/kadin/tisort,RENAME,RENAME,Moda › Kadın › Üst Giyim › Tişört,true,,,,0,2,6,0,Rename preserveId → Moda › Kadın › Üst Giyim › Tişört,true,HIGH
cmsg3xhj500aluzdcziy977zl,Tişört,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/tisort,RENAME,RENAME,Moda › Kadın › Üst Giyim › Tişört,true,,,,0,0,0,0,Rename preserveId → Moda › Kadın › Üst Giyim › Tişört,false,HIGH
