categoryPath,name,depth,siblingCount,duplicatePaths,issues,recommendAction
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Yüzük,Akıllı Yüzük,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › GPS Takip Cihazı,GPS Takip Cihazı,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,Telsiz,3,5,"Anne, Bebek ve Çocuk › Bakım ve Güvenlik › Güvenlik › Telsiz",same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Sabit Telefon,Sabit Telefon,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › IP Telefon,IP Telefon,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Uydu Telefonu,Uydu Telefonu,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Çağrı Cihazı,Çağrı Cihazı,3,5,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,Dizüstü Bilgisayar,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Masaüstü Bilgisayar,Masaüstü Bilgisayar,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Mini PC,Mini PC,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar › All-in-One Bilgisayar,All-in-One Bilgisayar,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar › İş İstasyonu,İş İstasyonu,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Oyuncu Bilgisayarı,Oyuncu Bilgisayarı,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Tablet,Tablet,3,4,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Grafik Tablet,Grafik Tablet,3,4,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › E-Kitap Okuyucu,E-Kitap Okuyucu,3,4,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Çocuk Tableti,Çocuk Tableti,3,4,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,İşlemci,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,Anakart,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,Ekran Kartı,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,RAM,3,12,,micro_dense_sibling|very_short_name,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,SSD,3,12,,micro_dense_sibling|very_short_name,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,Hard Disk,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,Bilgisayar Kasası,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,Güç Kaynağı,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,İşlemci Soğutucu,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,Kasa Fanı,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,Optik Sürücü,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Capture Card,Capture Card,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Monitör,Monitör,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,Klavye,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,Mouse,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye-Mouse Seti,Klavye-Mouse Seti,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Webcam,Webcam,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mikrofon,Mikrofon,3,11,Hobi ve Oyun › Müzik Aletleri › Müzik Aksesuarları › Mikrofon,same_sense_duplicate_leaf|micro_dense_sibling,MANUAL_REVIEW_DEDUP
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Hoparlör,Hoparlör,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Kulaklık,Kulaklık,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı,Yazıcı,3,11,"Kitap, Kırtasiye ve Ofis › Ofis › Ofis Makineleri › Yazıcı",same_sense_duplicate_leaf|micro_dense_sibling,MANUAL_REVIEW_DEDUP
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Tarayıcı,Tarayıcı,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Projeksiyon Cihazı,Projeksiyon Cihazı,3,11,"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Cihazı",same_sense_duplicate_leaf|micro_dense_sibling,MANUAL_REVIEW_DEDUP
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Modem,Modem,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Router,Router,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Access Point,Access Point,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Mesh Wi-Fi Sistemi,Mesh Wi-Fi Sistemi,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Switch,Switch,3,10,Endüstriyel ve Ticari Ürünler › Ofis ve Ticari Teknoloji › Kurumsal Donanım › Switch,same_sense_duplicate_leaf|micro_dense_sibling,MANUAL_REVIEW_DEDUP
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Range Extender,Range Extender,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Powerline Adaptör,Powerline Adaptör,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ağ Kartı,Ağ Kartı,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Anten,Anten,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ethernet Kablosu,Ethernet Kablosu,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › USB Bellek,USB Bellek,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Hafıza Kartı,Hafıza Kartı,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici SSD,Harici SSD,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici Hard Disk,Harici Hard Disk,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › NAS,NAS,3,6,,very_short_name,KEEP
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Kart Okuyucu,Kart Okuyucu,3,6,,ok,KEEP
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Çantası,Laptop Çantası,3,10,Moda › Çanta ve Aksesuar › Çanta › Laptop Çantası,same_sense_duplicate_leaf|micro_dense_sibling,MANUAL_REVIEW_DEDUP
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Standı,Laptop Standı,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Soğutucu,Soğutucu,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Docking Station,Docking Station,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › USB Hub,USB Hub,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Adaptör,Adaptör,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Kablo ve Dönüştürücü,Kablo ve Dönüştürücü,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Mouse Pad,Mouse Pad,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Monitör Kolu,Monitör Kolu,3,10,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › KVM Switch,KVM Switch,3,10,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › LED Televizyon",LED Televizyon,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › QLED Televizyon",QLED Televizyon,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › OLED Televizyon",OLED Televizyon,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Mini LED Televizyon",Mini LED Televizyon,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Taşınabilir Televizyon",Taşınabilir Televizyon,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Askı Aparatı",TV Askı Aparatı,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Kumandası",TV Kumandası,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Uydu Alıcısı",Uydu Alıcısı,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Android TV Box",Android TV Box,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Apple TV ve Medya Oynatıcı",Apple TV ve Medya Oynatıcı,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › HDMI Kablo",HDMI Kablo,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Anteni",TV Anteni,3,7,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Soundbar",Soundbar,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Ev Sinema Sistemi",Ev Sinema Sistemi,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hi-Fi Sistem",Hi-Fi Sistem,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Bluetooth Hoparlör",Bluetooth Hoparlör,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Taşınabilir Hoparlör",Taşınabilir Hoparlör,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Amfi",Amfi,3,8,Hobi ve Oyun › Müzik Aletleri › Müzik Aksesuarları › Amfi,same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Subwoofer",Subwoofer,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hoparlör Seti",Hoparlör Seti,3,8,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › TWS Kulaklık",TWS Kulaklık,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Kulak Üstü Kulaklık",Kulak Üstü Kulaklık,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Oyuncu Kulaklığı",Oyuncu Kulaklığı,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Stüdyo Kulaklığı",Stüdyo Kulaklığı,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Spor Kulaklığı",Spor Kulaklığı,3,5,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Cihazı",Projeksiyon Cihazı,3,4,Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Projeksiyon Cihazı,same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Perdesi",Projeksiyon Perdesi,3,4,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Sunum Kumandası",Sunum Kumandası,3,4,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Askı Aparatı",Projeksiyon Askı Aparatı,3,4,,ok,KEEP
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Dijital Fotoğraf Makinesi",Dijital Fotoğraf Makinesi,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Aksiyon Kamerası",Aksiyon Kamerası,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Video Kamera",Video Kamera,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Drone",Drone,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Lens",Lens,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Tripod",Tripod,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Gimbal",Gimbal,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Fotoğraf Çantası",Fotoğraf Çantası,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Flaş",Flaş,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Işık ve Softbox",Işık ve Softbox,3,11,,micro_dense_sibling,MICRO_REVIEW
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Kamera Aksesuarı",Kamera Aksesuarı,3,11,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Oyun ve Konsol › Oyun Konsolu › PlayStation,PlayStation,3,5,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyun Konsolu › Xbox,Xbox,3,5,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyun Konsolu › Nintendo Switch,Nintendo Switch,3,5,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyun Konsolu › El Konsolu,El Konsolu,3,5,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyun Konsolu › Retro Oyun Konsolu,Retro Oyun Konsolu,3,5,,ok,KEEP
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Gamepad,Gamepad,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Direksiyon Seti,Direksiyon Seti,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › VR Gözlük,VR Gözlük,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Şarj İstasyonu,Şarj İstasyonu,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Konsol Kulaklığı,Konsol Kulaklığı,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Taşıma Çantası,Taşıma Çantası,3,6,Pet Shop › Kedi › Aksesuar › Taşıma Çantası | Pet Shop › Köpek › Aksesuar › Taşıma Çantası,same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
Elektronik › Oyun ve Konsol › Oyunlar › PlayStation Oyunları,PlayStation Oyunları,3,4,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyunlar › Xbox Oyunları,Xbox Oyunları,3,4,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyunlar › Nintendo Oyunları,Nintendo Oyunları,3,4,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyunlar › PC Oyunları,PC Oyunları,3,4,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Klavyesi,Oyuncu Klavyesi,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Mouse,Oyuncu Mouse,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Monitörü,Oyuncu Monitörü,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Koltuğu,Oyuncu Koltuğu,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Masası,Oyuncu Masası,3,6,,ok,KEEP
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Yayıncı Ekipmanı,Yayıncı Ekipmanı,3,6,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Priz,Akıllı Priz,3,6,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Ampul,Akıllı Ampul,3,6,Ev ve Yaşam › Aydınlatma › Ampul ve Ekipman › Akıllı Ampul,same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Anahtar,Akıllı Anahtar,3,6,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Termostat,Akıllı Termostat,3,6,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Perde Motoru,Akıllı Perde Motoru,3,6,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Ev Hub,Akıllı Ev Hub,3,6,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › IP Kamera,IP Kamera,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Analog Kamera,Analog Kamera,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Kamera Kayıt Cihazı,Kamera Kayıt Cihazı,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Alarm Sistemi,Alarm Sistemi,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Hareket Sensörü,Hareket Sensörü,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Kapı-Pencere Sensörü,Kapı-Pencere Sensörü,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Görüntülü Diafon,Görüntülü Diafon,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Akıllı Kilit,Akıllı Kilit,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Duman Dedektörü,Duman Dedektörü,3,9,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › UPS,UPS,3,5,Endüstriyel ve Ticari Ürünler › Ofis ve Ticari Teknoloji › Kurumsal Donanım › UPS,same_sense_duplicate_leaf|very_short_name,MANUAL_REVIEW_DEDUP
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Voltaj Regülatörü,Voltaj Regülatörü,3,5,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Akım Korumalı Priz,Akım Korumalı Priz,3,5,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Solar Şarj Cihazı,Solar Şarj Cihazı,3,5,,ok,KEEP
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Taşınabilir Güç İstasyonu,Taşınabilir Güç İstasyonu,3,5,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,Buzdolabı,3,4,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Soğutma › Mini Buzdolabı,Mini Buzdolabı,3,4,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Soğutma › Derin Dondurucu,Derin Dondurucu,3,4,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Soğutma › Şarap Dolabı,Şarap Dolabı,3,4,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,Çamaşır Makinesi,3,3,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutma Makinesi,Kurutma Makinesi,3,3,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,Kurutmalı Çamaşır Makinesi,3,3,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Bulaşık Makinesi,Bulaşık Makinesi,3,2,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Ankastre Bulaşık Makinesi,Ankastre Bulaşık Makinesi,3,2,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Pişirme › Fırın,Fırın,3,6,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Pişirme › Ocak,Ocak,3,6,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Pişirme › Davlumbaz,Davlumbaz,3,6,Endüstriyel ve Ticari Ürünler › Restoran ve Otel › Mutfak Ekipmanları › Davlumbaz,same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
Ev Aletleri › Beyaz Eşya › Pişirme › Aspiratör,Aspiratör,3,6,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Pişirme › Ankastre Set,Ankastre Set,3,6,,ok,KEEP
Ev Aletleri › Beyaz Eşya › Pişirme › Mikrodalga Fırın,Mikrodalga Fırın,3,6,,ok,KEEP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Klima,Klima,3,8,,ok,KEEP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Portatif Klima,Portatif Klima,3,8,,ok,KEEP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Vantilatör,Vantilatör,3,8,,ok,KEEP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Hava Soğutucu,Hava Soğutucu,3,8,,ok,KEEP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Isıtıcı,Isıtıcı,3,8,Pet Shop › Akvaryum › Akvaryum Ürünleri › Isıtıcı,same_sense_duplicate_leaf,MANUAL_REVIEW_DEDUP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Kombi,Kombi,3,8,,ok,KEEP
Ev Aletleri › Beyaz Eşya › İklimlendirme › Şofben,Şofben,3,8,,ok,KEEP
