categoryName,template,attributeName,attributeSlug,type,required,filterable,searchable,comparisonVisible,isVariant,optionValues,unit,sortOrder,notes
Buzdolabı,WHITE_GOODS,Derin Dondurucu,derin-dondurucu,BOOLEAN,false,true,true,true,false,,,8,
Bulaşık Makinesi,WHITE_GOODS,Enerji Sınıfı,enerji-sinifi,SINGLE_SELECT,true,true,true,true,false,A;B;C;D;E;F;G,,1,
Bulaşık Makinesi,WHITE_GOODS,Renk,renk,COLOR,false,true,true,true,false,Beyaz;Gri;Siyah;Inox;Diğer,,2,
Bulaşık Makinesi,WHITE_GOODS,Ölçüler,olculer,TEXT,false,false,false,false,false,,,3,
Bulaşık Makinesi,WHITE_GOODS,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,4,
Bulaşık Makinesi,WHITE_GOODS,Kapasite,kapasite-kisilik,SINGLE_SELECT,true,true,true,true,false,8;10;12;13;14;16,kişilik,5,
Bulaşık Makinesi,WHITE_GOODS,Ankastre,ankastre,BOOLEAN,false,true,true,true,false,,,6,
Bulaşık Makinesi,WHITE_GOODS,Ses Seviyesi,ses-seviyesi,NUMBER,false,false,true,true,false,,dB,7,
Kurutma Makinesi,WHITE_GOODS,Enerji Sınıfı,enerji-sinifi,SINGLE_SELECT,true,true,true,true,false,A;B;C;D;E;F;G,,1,
Kurutma Makinesi,WHITE_GOODS,Renk,renk,COLOR,false,true,true,true,false,Beyaz;Gri;Siyah;Inox;Diğer,,2,
Kurutma Makinesi,WHITE_GOODS,Ölçüler,olculer,TEXT,false,false,false,false,false,,,3,
Kurutma Makinesi,WHITE_GOODS,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,4,
Kurutma Makinesi,WHITE_GOODS,Kapasite,kurutma-kapasitesi,SINGLE_SELECT,true,true,true,true,false,7 kg;8 kg;9 kg;10 kg,kg,5,
Kurutma Makinesi,WHITE_GOODS,Kurutma Tipi,kurutma-tipi,SINGLE_SELECT,false,true,true,true,false,Egzoz;Yoğuşmalı;Isı Pompalı,,6,
Bisiklet,SPORTS_EQUIPMENT,Spor Dalı,spor-dali,SINGLE_SELECT,false,true,true,true,false,Fitness;Futbol;Basketbol;Koşu;Outdoor;Diğer,,1,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Beden/Boyut,beden-boyut,TEXT,false,true,true,true,true,,,2,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Kırmızı;Mavi;Diğer,,3,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Malzeme,malzeme,SINGLE_SELECT,false,true,true,true,false,Metal;Plastik;Kumaş;Karbon;Diğer,,4,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Bisiklet Tipi,bisiklet-tipi,SINGLE_SELECT,true,true,true,true,false,Dağ;Şehir;Yol;Katlanır;Çocuk;Elektrikli,,5,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Jant Çapı,jant-capi,SINGLE_SELECT,false,true,true,true,false,20;24;26;27.5;28;29,inç,6,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Vites Sayısı,vites-sayisi,SINGLE_SELECT,false,true,true,true,false,Tek;3;7;18;21;24;27,,7,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Fren Tipi,fren-tipi,SINGLE_SELECT,false,true,true,true,false,V-Brake;Disk;Hidrolik Disk,,8,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Kadro Malzemesi,kadro-malzemesi,SINGLE_SELECT,false,true,true,true,false,Alüminyum;Çelik;Karbon;Diğer,,9,DB currently empty/weak — seed this set
Bisiklet,SPORTS_EQUIPMENT,Elektrikli,elektrikli,BOOLEAN,false,true,true,true,false,,,10,DB currently empty/weak — seed this set
Akıllı Telefon,PHONE,Depolama,depolama,SINGLE_SELECT,true,true,true,true,true,64 GB;128 GB;256 GB;512 GB;1 TB,,1,
Akıllı Telefon,PHONE,RAM,ram,SINGLE_SELECT,false,true,true,true,true,4 GB;6 GB;8 GB;12 GB;16 GB,,2,
Akıllı Telefon,PHONE,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Gri;Mavi;Altın;Mor;Diğer,,3,
Akıllı Telefon,PHONE,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,false,true,true,true,false,5.5;6.1;6.5;6.7;6.8;7.0,inç,4,
Akıllı Telefon,PHONE,İşletim Sistemi,isletim-sistemi,SINGLE_SELECT,false,true,true,true,false,iOS;Android;HarmonyOS;Diğer,,5,
Akıllı Telefon,PHONE,SIM Tipi,sim-tipi,SINGLE_SELECT,false,true,true,true,false,Tek SIM;Çift SIM;eSIM;Çift SIM + eSIM,,6,
Akıllı Telefon,PHONE,5G,5g,BOOLEAN,false,true,true,true,false,,,7,
Akıllı Telefon,PHONE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,Yok;6 Ay;12 Ay;24 Ay,,8,
Laptop,COMPUTER,İşlemci,islemci,SINGLE_SELECT,true,true,true,true,false,Intel i3;Intel i5;Intel i7;Intel i9;AMD Ryzen 5;AMD Ryzen 7;Apple M;Diğer,,1,
Laptop,COMPUTER,RAM,ram,SINGLE_SELECT,true,true,true,true,true,8 GB;16 GB;32 GB;64 GB,,2,
Laptop,COMPUTER,Depolama,depolama,SINGLE_SELECT,true,true,true,true,true,256 GB;512 GB;1 TB;2 TB,,3,
Laptop,COMPUTER,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,false,true,true,true,false,13;14;15.6;16;17,inç,4,
Laptop,COMPUTER,İşletim Sistemi,isletim-sistemi,SINGLE_SELECT,false,true,true,true,false,Windows;macOS;ChromeOS;Linux;FreeDOS,,5,
Laptop,COMPUTER,Renk,renk,COLOR,false,true,true,true,true,Siyah;Gri;Gümüş;Beyaz;Diğer,,6,
Laptop,COMPUTER,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,7,
Laptop,COMPUTER,Ekran Kartı,ekran-karti,SINGLE_SELECT,false,true,true,true,false,Paylaşımlı;GTX;RTX;Radeon;Diğer,,8,
Televizyon,TV,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,true,true,true,true,true,32;40;43;50;55;65;75;85,inç,1,
Televizyon,TV,Çözünürlük,cozunurluk,SINGLE_SELECT,true,true,true,true,false,HD;Full HD;4K;8K,,2,
Televizyon,TV,Panel Tipi,panel-tipi,SINGLE_SELECT,false,true,true,true,false,LED;QLED;OLED;Mini-LED;Diğer,,3,
Televizyon,TV,Smart TV,smart-tv,BOOLEAN,false,true,true,true,false,,,4,
Televizyon,TV,HDR,hdr,SINGLE_SELECT,false,true,true,true,false,Yok;HDR10;HDR10+;Dolby Vision,,5,
Televizyon,TV,Yenileme Hızı,yenileme-hizi,SINGLE_SELECT,false,true,true,true,false,60 Hz;120 Hz;144 Hz,,6,
Televizyon,TV,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,7,
Tişört,APPAREL,Cinsiyet,cinsiyet,SINGLE_SELECT,true,true,true,true,false,Kadın;Erkek;Unisex;Çocuk,,1,
Tişört,APPAREL,Beden,beden,SINGLE_SELECT,true,true,true,true,true,XXS;XS;S;M;L;XL;XXL;3XL,,2,
Tişört,APPAREL,Renk,renk,COLOR,true,true,true,true,true,Siyah;Beyaz;Gri;Mavi;Kırmızı;Yeşil;Diğer,,3,
Tişört,APPAREL,Kumaş,kumas,SINGLE_SELECT,false,true,true,true,false,Pamuk;Polyester;Keten;Yün;Diğer,,4,
Tişört,APPAREL,Kalıp,kalip,SINGLE_SELECT,false,true,true,true,false,Regular;Slim;Oversized;Relaxed,,5,
Tişört,APPAREL,Yaka,yaka-tipi,SINGLE_SELECT,false,true,true,true,false,Bisiklet Yaka;V Yaka;Gömlek Yaka,,6,
Tişört,APPAREL,Kol Tipi,kol-tipi,SINGLE_SELECT,false,true,true,true,false,Kısa Kol;Uzun Kol;Kolsuz,,7,
Ayakkabı,FOOTWEAR,Cinsiyet,cinsiyet,SINGLE_SELECT,true,true,true,true,false,Kadın;Erkek;Unisex;Çocuk,,1,
Ayakkabı,FOOTWEAR,Numara,numara,SINGLE_SELECT,true,true,true,true,true,35;36;37;38;39;40;41;42;43;44;45;46,,2,
Ayakkabı,FOOTWEAR,Renk,renk,COLOR,true,true,true,true,true,Siyah;Beyaz;Kahverengi;Gri;Diğer,,3,
Ayakkabı,FOOTWEAR,Malzeme,malzeme,SINGLE_SELECT,false,true,true,true,false,Deri;Süet;Tekstil;Sentetik;Diğer,,4,
Ayakkabı,FOOTWEAR,Taban Tipi,taban-tipi,SINGLE_SELECT,false,true,true,true,false,Düz;Spor;Topuklu;Diğer,,5,
Filtreli Sürahi,SMALL_APPLIANCE,Güç,guc,NUMBER,false,true,true,true,false,,W,1,
Filtreli Sürahi,SMALL_APPLIANCE,Kapasite,kapasite,SINGLE_SELECT,true,true,true,true,true,1.5 L;2 L;2.5 L;3 L,,2,
Filtreli Sürahi,SMALL_APPLIANCE,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Gri;Kırmızı;Diğer,,3,
Filtreli Sürahi,SMALL_APPLIANCE,Malzeme,malzeme,SINGLE_SELECT,false,true,true,true,false,Plastik;Paslanmaz Çelik;Cam;Diğer,,4,
Filtreli Sürahi,SMALL_APPLIANCE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,Yok;12 Ay;24 Ay,,5,
Filtreli Sürahi,SMALL_APPLIANCE,Filtre Tipi,filtre-tipi,SINGLE_SELECT,false,true,true,true,false,Standart;MAXTRA+;Aktif Karbon,,6,
Filtreli Sürahi,SMALL_APPLIANCE,Filtre Adedi,filtre-adedi,SINGLE_SELECT,false,true,true,true,true,1;2;3;4;6,,7,
Filtreli Sürahi,SMALL_APPLIANCE,Filtre Değişim Göstergesi,filtre-degisim-gostergesi,BOOLEAN,false,true,true,true,false,,,8,
Robot Süpürge,SMALL_APPLIANCE,Güç,guc,NUMBER,false,true,true,true,false,,W,1,
Robot Süpürge,SMALL_APPLIANCE,Kapasite,kapasite,TEXT,false,true,true,true,false,,,2,
Robot Süpürge,SMALL_APPLIANCE,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Gri;Kırmızı;Diğer,,3,
Robot Süpürge,SMALL_APPLIANCE,Malzeme,malzeme,SINGLE_SELECT,false,true,true,true,false,Plastik;Paslanmaz Çelik;Cam;Diğer,,4,
Robot Süpürge,SMALL_APPLIANCE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,Yok;12 Ay;24 Ay,,5,
Robot Süpürge,SMALL_APPLIANCE,Emme Gücü,emme-gucu,NUMBER,false,true,true,true,false,,Pa,6,
Robot Süpürge,SMALL_APPLIANCE,Haritalama,haritalama,BOOLEAN,false,true,true,true,false,,,7,
Robot Süpürge,SMALL_APPLIANCE,Islak Silme,islak-silme,BOOLEAN,false,true,true,true,false,,,8,
Robot Süpürge,SMALL_APPLIANCE,Toz Haznesi,toz-haznesi,SINGLE_SELECT,false,true,true,true,false,0.3 L;0.5 L;0.6 L;0.8 L,,9,
Robot Süpürge,SMALL_APPLIANCE,Çalışma Süresi,calisma-suresi,NUMBER,false,true,true,true,false,,dk,10,
Kahve Makinesi,SMALL_APPLIANCE,Güç,guc,NUMBER,false,true,true,true,false,,W,1,
Kahve Makinesi,SMALL_APPLIANCE,Kapasite,kapasite,TEXT,false,true,true,true,false,,,2,
Kahve Makinesi,SMALL_APPLIANCE,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Gri;Kırmızı;Diğer,,3,
Kahve Makinesi,SMALL_APPLIANCE,Malzeme,malzeme,SINGLE_SELECT,false,true,true,true,false,Plastik;Paslanmaz Çelik;Cam;Diğer,,4,
Kahve Makinesi,SMALL_APPLIANCE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,Yok;12 Ay;24 Ay,,5,
Kahve Makinesi,SMALL_APPLIANCE,Kahve Tipi,kahve-tipi,SINGLE_SELECT,true,true,true,true,false,Espresso;Filtre;Kapsül;Türk;Otomatik,,6,
Kahve Makinesi,SMALL_APPLIANCE,Basınç,basinc,NUMBER,false,true,true,true,false,,bar,7,
Kahve Makinesi,SMALL_APPLIANCE,Su Haznesi,su-haznesi,SINGLE_SELECT,false,true,true,true,false,1 L;1.5 L;1.8 L;2 L,,8,
Kahve Makinesi,SMALL_APPLIANCE,Süt Köpürtücü,sut-kopurtucu,BOOLEAN,false,true,true,true,false,,,9,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Güç,guc,NUMBER,true,true,true,true,false,,kW,1,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Voltaj,voltaj,SINGLE_SELECT,true,true,true,true,false,220V;380V;Diğer,,2,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Kapasite,kapasite,TEXT,false,true,true,true,false,,,3,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Çalışma Ağırlığı,calisma-agirligi,NUMBER,false,false,true,true,false,,kg,4,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,5,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Makine Tipi,makine-tipi,SINGLE_SELECT,true,true,true,true,false,Tarım;İnşaat;Üretim;Depo;Diğer,,6,
Endüstriyel Makineler,INDUSTRIAL_MACHINE,Yakıt Tipi,yakit-tipi,SINGLE_SELECT,false,true,true,true,false,Elektrik;Dizel;Benzin;LPG;Hibrit,,7,
