categoryPath,modelMode,reason,requiresSeedModels,priority,notes
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Capture Card,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Monitör,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye-Mouse Seti,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Webcam,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mikrofon,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Hoparlör,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Kulaklık,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Tarayıcı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Projeksiyon Cihazı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Modem,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Router,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Access Point,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Mesh Wi-Fi Sistemi,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Switch,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Range Extender,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Powerline Adaptör,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ağ Kartı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Anten,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ethernet Kablosu,DISABLED,apparel/accessory style,false,3,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › USB Bellek,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Hafıza Kartı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici SSD,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici Hard Disk,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › NAS,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Kart Okuyucu,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Çantası,REQUIRED,identifiable commercial model,true,1,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Standı,REQUIRED,identifiable commercial model,true,1,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Soğutucu,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Docking Station,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › USB Hub,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Adaptör,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Kablo ve Dönüştürücü,DISABLED,apparel/accessory style,false,3,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Mouse Pad,DISABLED,apparel/accessory style,false,3,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Monitör Kolu,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › KVM Switch,OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › LED Televizyon",REQUIRED,identifiable commercial model,true,1,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › QLED Televizyon",REQUIRED,identifiable commercial model,true,1,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › OLED Televizyon",REQUIRED,identifiable commercial model,true,1,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Mini LED Televizyon",REQUIRED,identifiable commercial model,true,1,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Taşınabilir Televizyon",REQUIRED,identifiable commercial model,true,1,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Askı Aparatı",DISABLED,apparel/accessory style,false,3,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Kumandası",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Uydu Alıcısı",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Android TV Box",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Apple TV ve Medya Oynatıcı",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › HDMI Kablo",DISABLED,apparel/accessory style,false,3,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Anteni",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Soundbar",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Ev Sinema Sistemi",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hi-Fi Sistem",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Bluetooth Hoparlör",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Taşınabilir Hoparlör",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Amfi",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Subwoofer",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hoparlör Seti",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › TWS Kulaklık",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Kulak Üstü Kulaklık",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Oyuncu Kulaklığı",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Stüdyo Kulaklığı",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Spor Kulaklığı",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Cihazı",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Perdesi",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Sunum Kumandası",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Askı Aparatı",DISABLED,apparel/accessory style,false,3,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Dijital Fotoğraf Makinesi",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Aksiyon Kamerası",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Video Kamera",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Drone",REQUIRED,identifiable commercial model,true,1,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Lens",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Tripod",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Gimbal",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Fotoğraf Çantası",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Flaş",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Işık ve Softbox",OPTIONAL,optional model,false,2,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Kamera Aksesuarı",OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyun Konsolu › PlayStation,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Oyun Konsolu › Xbox,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Oyun Konsolu › Nintendo Switch,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Oyun Konsolu › El Konsolu,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyun Konsolu › Retro Oyun Konsolu,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Gamepad,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Direksiyon Seti,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › VR Gözlük,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Şarj İstasyonu,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Konsol Kulaklığı,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Taşıma Çantası,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyunlar › PlayStation Oyunları,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Oyunlar › Xbox Oyunları,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Oyunlar › Nintendo Oyunları,REQUIRED,identifiable commercial model,true,1,
Elektronik › Oyun ve Konsol › Oyunlar › PC Oyunları,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Klavyesi,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Mouse,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Monitörü,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Koltuğu,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Masası,OPTIONAL,optional model,false,2,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Yayıncı Ekipmanı,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Priz,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Ampul,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Anahtar,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Termostat,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Perde Motoru,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Ev Hub,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › IP Kamera,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Analog Kamera,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Kamera Kayıt Cihazı,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Alarm Sistemi,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Hareket Sensörü,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Kapı-Pencere Sensörü,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Görüntülü Diafon,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Akıllı Kilit,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Duman Dedektörü,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › UPS,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Voltaj Regülatörü,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Akım Korumalı Priz,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Solar Şarj Cihazı,OPTIONAL,optional model,false,2,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Taşınabilir Güç İstasyonu,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Soğutma › Mini Buzdolabı,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Soğutma › Derin Dondurucu,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Soğutma › Şarap Dolabı,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutma Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Bulaşık Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Ankastre Bulaşık Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Pişirme › Fırın,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Pişirme › Ocak,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Pişirme › Davlumbaz,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Pişirme › Aspiratör,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Pişirme › Ankastre Set,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › Pişirme › Mikrodalga Fırın,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Klima,REQUIRED,identifiable commercial model,true,1,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Portatif Klima,REQUIRED,identifiable commercial model,true,1,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Vantilatör,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Hava Soğutucu,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Isıtıcı,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Kombi,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Şofben,OPTIONAL,optional model,false,2,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Termosifon,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Robot Süpürge,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Dikey Süpürge,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Toz Torbalı Süpürge,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Toz Torbasız Süpürge,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Islak-Kuru Süpürge,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Buharlı Temizleyici,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Halı Yıkama Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Cam Temizleme Robotu,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Buharlı Ütü,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Kazanlı Ütü,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Dikey Ütü,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Ütü Masası,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Dikiş Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Overlok Makinesi,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Hava Temizleyici,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Nem Alma Cihazı,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Nemlendirici,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Ozon Cihazı,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Elektrikli Battaniye,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Ayak Isıtıcı,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Elektrikli Soba,OPTIONAL,optional model,false,2,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Sinekkapan Cihazı,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Airfryer,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Mini Fırın,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Elektrikli Izgara,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Tost Makinesi,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Waffle Makinesi,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Krep Makinesi,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Ekmek Yapma Makinesi,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Yoğurt Makinesi,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Tencere,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Tencere Seti,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Tava,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Döküm Tencere,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Döküm Tava,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Düdüklü Tencere,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Sahan,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Tencere ve Tavalar › Wok Tava,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Fırın Gereçleri › Fırın Tepsisi,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Fırın Gereçleri › Kek Kalıbı,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Fırın Gereçleri › Borcam ve Fırın Kabı,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Fırın Gereçleri › Silikon Kalıp,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Pişirme › Fırın Gereçleri › Pişirme Kağıdı ve Mat,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › Mutfak Robotu,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › Blender,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › El Blenderı,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › Mikser,OPTIONAL,optional model,false,2,
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › Doğrayıcı,OPTIONAL,optional model,false,2,
