categoryPath,leafName,templateId,notes
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,Akıllı Bileklik,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,Çocuk Akıllı Saati,BABY_PRODUCT,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Yüzük,Akıllı Yüzük,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › GPS Takip Cihazı,GPS Takip Cihazı,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,Telsiz,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Sabit Telefon,Sabit Telefon,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › IP Telefon,IP Telefon,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Uydu Telefonu,Uydu Telefonu,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Çağrı Cihazı,Çağrı Cihazı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,Dizüstü Bilgisayar,COMPUTER,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Masaüstü Bilgisayar,Masaüstü Bilgisayar,COMPUTER,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Mini PC,Mini PC,COMPUTER,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › All-in-One Bilgisayar,All-in-One Bilgisayar,COMPUTER,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › İş İstasyonu,İş İstasyonu,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Oyuncu Bilgisayarı,Oyuncu Bilgisayarı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Tablet,Tablet,BOOK_STATIONERY,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Grafik Tablet,Grafik Tablet,FURNITURE,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › E-Kitap Okuyucu,E-Kitap Okuyucu,BOOK_STATIONERY,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Çocuk Tableti,Çocuk Tableti,BOOK_STATIONERY,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,İşlemci,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,Anakart,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,Ekran Kartı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,RAM,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,SSD,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,Hard Disk,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,Bilgisayar Kasası,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,Güç Kaynağı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,İşlemci Soğutucu,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,Kasa Fanı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,Optik Sürücü,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Capture Card,Capture Card,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Monitör,Monitör,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,Klavye,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,Mouse,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye-Mouse Seti,Klavye-Mouse Seti,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Webcam,Webcam,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mikrofon,Mikrofon,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Hoparlör,Hoparlör,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Kulaklık,Kulaklık,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı,Yazıcı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Tarayıcı,Tarayıcı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Projeksiyon Cihazı,Projeksiyon Cihazı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Modem,Modem,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Router,Router,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Access Point,Access Point,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Mesh Wi-Fi Sistemi,Mesh Wi-Fi Sistemi,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Switch,Switch,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Range Extender,Range Extender,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Powerline Adaptör,Powerline Adaptör,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ağ Kartı,Ağ Kartı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Anten,Anten,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ethernet Kablosu,Ethernet Kablosu,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › USB Bellek,USB Bellek,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Hafıza Kartı,Hafıza Kartı,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici SSD,Harici SSD,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici Hard Disk,Harici Hard Disk,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › NAS,NAS,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Kart Okuyucu,Kart Okuyucu,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Çantası,Laptop Çantası,SPORTS_EQUIPMENT,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Standı,Laptop Standı,COMPUTER,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Soğutucu,Soğutucu,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Docking Station,Docking Station,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › USB Hub,USB Hub,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Adaptör,Adaptör,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Kablo ve Dönüştürücü,Kablo ve Dönüştürücü,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Mouse Pad,Mouse Pad,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Monitör Kolu,Monitör Kolu,SMALL_APPLIANCE,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › KVM Switch,KVM Switch,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › LED Televizyon",LED Televizyon,TV,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › QLED Televizyon",QLED Televizyon,TV,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › OLED Televizyon",OLED Televizyon,TV,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Mini LED Televizyon",Mini LED Televizyon,TV,
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Taşınabilir Televizyon",Taşınabilir Televizyon,TV,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Askı Aparatı",TV Askı Aparatı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Kumandası",TV Kumandası,PET_PRODUCT,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Uydu Alıcısı",Uydu Alıcısı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Android TV Box",Android TV Box,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Apple TV ve Medya Oynatıcı",Apple TV ve Medya Oynatıcı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › HDMI Kablo",HDMI Kablo,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Anteni",TV Anteni,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Soundbar",Soundbar,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Ev Sinema Sistemi",Ev Sinema Sistemi,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hi-Fi Sistem",Hi-Fi Sistem,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Bluetooth Hoparlör",Bluetooth Hoparlör,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Taşınabilir Hoparlör",Taşınabilir Hoparlör,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Amfi",Amfi,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Subwoofer",Subwoofer,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hoparlör Seti",Hoparlör Seti,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › TWS Kulaklık",TWS Kulaklık,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Kulak Üstü Kulaklık",Kulak Üstü Kulaklık,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Oyuncu Kulaklığı",Oyuncu Kulaklığı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Stüdyo Kulaklığı",Stüdyo Kulaklığı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Spor Kulaklığı",Spor Kulaklığı,SPORTS_EQUIPMENT,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Cihazı",Projeksiyon Cihazı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Perdesi",Projeksiyon Perdesi,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Sunum Kumandası",Sunum Kumandası,PET_PRODUCT,
"Elektronik › Televizyon, Görüntü ve Ses › Projeksiyon ve Sunum › Projeksiyon Askı Aparatı",Projeksiyon Askı Aparatı,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Dijital Fotoğraf Makinesi",Dijital Fotoğraf Makinesi,FURNITURE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Aksiyon Kamerası",Aksiyon Kamerası,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Video Kamera",Video Kamera,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Drone",Drone,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Lens",Lens,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Tripod",Tripod,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Gimbal",Gimbal,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Fotoğraf Çantası",Fotoğraf Çantası,FURNITURE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Flaş",Flaş,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Işık ve Softbox",Işık ve Softbox,SMALL_APPLIANCE,
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Kamera Aksesuarı",Kamera Aksesuarı,AUTOMOTIVE_PART,
Elektronik › Oyun ve Konsol › Oyun Konsolu › PlayStation,PlayStation,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyun Konsolu › Xbox,Xbox,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyun Konsolu › Nintendo Switch,Nintendo Switch,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyun Konsolu › El Konsolu,El Konsolu,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyun Konsolu › Retro Oyun Konsolu,Retro Oyun Konsolu,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Gamepad,Gamepad,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Direksiyon Seti,Direksiyon Seti,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › VR Gözlük,VR Gözlük,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Şarj İstasyonu,Şarj İstasyonu,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Konsol Kulaklığı,Konsol Kulaklığı,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Konsol Aksesuarları › Taşıma Çantası,Taşıma Çantası,PET_PRODUCT,
Elektronik › Oyun ve Konsol › Oyunlar › PlayStation Oyunları,PlayStation Oyunları,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyunlar › Xbox Oyunları,Xbox Oyunları,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyunlar › Nintendo Oyunları,Nintendo Oyunları,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyunlar › PC Oyunları,PC Oyunları,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Klavyesi,Oyuncu Klavyesi,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Mouse,Oyuncu Mouse,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Monitörü,Oyuncu Monitörü,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Koltuğu,Oyuncu Koltuğu,SMALL_APPLIANCE,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Oyuncu Masası,Oyuncu Masası,FURNITURE,
Elektronik › Oyun ve Konsol › Oyuncu Ekipmanları › Yayıncı Ekipmanı,Yayıncı Ekipmanı,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Priz,Akıllı Priz,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Ampul,Akıllı Ampul,AUTOMOTIVE_PART,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Anahtar,Akıllı Anahtar,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Termostat,Akıllı Termostat,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Perde Motoru,Akıllı Perde Motoru,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Akıllı Ev › Akıllı Ev Hub,Akıllı Ev Hub,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › IP Kamera,IP Kamera,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Analog Kamera,Analog Kamera,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Kamera Kayıt Cihazı,Kamera Kayıt Cihazı,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Alarm Sistemi,Alarm Sistemi,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Hareket Sensörü,Hareket Sensörü,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Kapı-Pencere Sensörü,Kapı-Pencere Sensörü,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Görüntülü Diafon,Görüntülü Diafon,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Akıllı Kilit,Akıllı Kilit,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Güvenlik Sistemleri › Duman Dedektörü,Duman Dedektörü,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › UPS,UPS,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Voltaj Regülatörü,Voltaj Regülatörü,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Akım Korumalı Priz,Akım Korumalı Priz,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Solar Şarj Cihazı,Solar Şarj Cihazı,SMALL_APPLIANCE,
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Taşınabilir Güç İstasyonu,Taşınabilir Güç İstasyonu,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,Buzdolabı,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Soğutma › Mini Buzdolabı,Mini Buzdolabı,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Soğutma › Derin Dondurucu,Derin Dondurucu,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Soğutma › Şarap Dolabı,Şarap Dolabı,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,Çamaşır Makinesi,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutma Makinesi,Kurutma Makinesi,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,Kurutmalı Çamaşır Makinesi,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Bulaşık Makinesi,Bulaşık Makinesi,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Ankastre Bulaşık Makinesi,Ankastre Bulaşık Makinesi,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Pişirme › Fırın,Fırın,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Pişirme › Ocak,Ocak,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › Pişirme › Davlumbaz,Davlumbaz,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › Pişirme › Aspiratör,Aspiratör,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › Pişirme › Ankastre Set,Ankastre Set,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › Pişirme › Mikrodalga Fırın,Mikrodalga Fırın,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Klima,Klima,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Portatif Klima,Portatif Klima,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Vantilatör,Vantilatör,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Hava Soğutucu,Hava Soğutucu,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Isıtıcı,Isıtıcı,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Kombi,Kombi,WHITE_GOODS,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Şofben,Şofben,SMALL_APPLIANCE,
Ev Aletleri › Beyaz Eşya › İklimlendirme › Termosifon,Termosifon,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Robot Süpürge,Robot Süpürge,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Dikey Süpürge,Dikey Süpürge,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Toz Torbalı Süpürge,Toz Torbalı Süpürge,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Toz Torbasız Süpürge,Toz Torbasız Süpürge,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Islak-Kuru Süpürge,Islak-Kuru Süpürge,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Buharlı Temizleyici,Buharlı Temizleyici,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Halı Yıkama Makinesi,Halı Yıkama Makinesi,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Temizlik › Cam Temizleme Robotu,Cam Temizleme Robotu,FOOTWEAR,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Buharlı Ütü,Buharlı Ütü,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Kazanlı Ütü,Kazanlı Ütü,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Dikey Ütü,Dikey Ütü,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Ütü Masası,Ütü Masası,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Dikiş Makinesi,Dikiş Makinesi,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Overlok Makinesi,Overlok Makinesi,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Hava Temizleyici,Hava Temizleyici,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Nem Alma Cihazı,Nem Alma Cihazı,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Nemlendirici,Nemlendirici,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Ozon Cihazı,Ozon Cihazı,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Elektrikli Battaniye,Elektrikli Battaniye,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Ayak Isıtıcı,Ayak Isıtıcı,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Elektrikli Soba,Elektrikli Soba,SMALL_APPLIANCE,
Ev Aletleri › Küçük Ev Aletleri › Kişisel Konfor › Sinekkapan Cihazı,Sinekkapan Cihazı,SMALL_APPLIANCE,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Airfryer,Airfryer,SMALL_APPLIANCE,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Mini Fırın,Mini Fırın,KITCHENWARE,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Elektrikli Izgara,Elektrikli Izgara,KITCHENWARE,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Tost Makinesi,Tost Makinesi,SMALL_APPLIANCE,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Waffle Makinesi,Waffle Makinesi,KITCHENWARE,
Mutfak ve Sofra › Pişirme › Elektrikli Pişirme › Krep Makinesi,Krep Makinesi,KITCHENWARE,
