categoryPath,attributeName,attributeSlug,type,required,filterable,searchable,formVisible,detailVisible,comparisonVisible,isVariant,unit,sortOrder,optionValues,source,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,5G,5g,BOOLEAN,false,true,true,true,true,true,true,,7,,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Garanti,garanti,SINGLE_SELECT,false,true,true,true,true,true,false,,8,Yok;6 Ay;12 Ay;24 Ay,plan,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Yüzük,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Yüzük,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › GPS Takip Cihazı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › GPS Takip Cihazı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Sabit Telefon,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Sabit Telefon,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › IP Telefon,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › IP Telefon,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Uydu Telefonu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Uydu Telefonu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Çağrı Cihazı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Çağrı Cihazı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Masaüstü Bilgisayar,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Masaüstü Bilgisayar,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Mini PC,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Mini PC,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar › All-in-One Bilgisayar,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › All-in-One Bilgisayar,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar › İş İstasyonu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › İş İstasyonu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Oyuncu Bilgisayarı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Oyuncu Bilgisayarı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Tablet,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Tablet,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Grafik Tablet,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Grafik Tablet,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › E-Kitap Okuyucu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › E-Kitap Okuyucu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Çocuk Tableti,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Çocuk Tableti,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Capture Card,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Capture Card,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Monitör,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Monitör,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye-Mouse Seti,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye-Mouse Seti,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Webcam,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Webcam,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mikrofon,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mikrofon,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Hoparlör,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
